Name,sim_type,N,h,d,reg_param,rho_r,alpha,phi_c,theta,eta_f,t_step
Ive_comp_0_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.1,3.99732836365627e-05,10
Ive_comp_0_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.2,3.99732836365627e-05,10
Ive_comp_0_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.3,3.99732836365627e-05,10
Ive_comp_0_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.4,3.99732836365627e-05,10
Ive_comp_0_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.5,3.99732836365627e-05,10
Ive_comp_0_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.6,3.99732836365627e-05,10
Ive_comp_0_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.7,3.99732836365627e-05,10
Ive_comp_0_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.8,3.99732836365627e-05,10
Ive_comp_0_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,0.9,3.99732836365627e-05,10
Ive_comp_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1,3.99732836365627e-05,10
Ive_comp_1_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.1,3.99732836365627e-05,10
Ive_comp_1_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.2,3.99732836365627e-05,10
Ive_comp_1_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.3,3.99732836365627e-05,10
Ive_comp_1_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.4,3.99732836365627e-05,10
Ive_comp_1_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.5,3.99732836365627e-05,10
Ive_comp_1_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.6,3.99732836365627e-05,10
Ive_comp_1_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.7,3.99732836365627e-05,10
Ive_comp_1_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.8,3.99732836365627e-05,10
Ive_comp_1_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,1.9,3.99732836365627e-05,10
Ive_comp_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2,3.99732836365627e-05,10
Ive_comp_2_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.1,3.99732836365627e-05,10
Ive_comp_2_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.2,3.99732836365627e-05,10
Ive_comp_2_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.3,3.99732836365627e-05,10
Ive_comp_2_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.4,3.99732836365627e-05,10
Ive_comp_2_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.5,3.99732836365627e-05,10
Ive_comp_2_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.6,3.99732836365627e-05,10
Ive_comp_2_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.7,3.99732836365627e-05,10
Ive_comp_2_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.8,3.99732836365627e-05,10
Ive_comp_2_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,2.9,3.99732836365627e-05,10
Ive_comp_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3,3.99732836365627e-05,10
Ive_comp_3_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.1,3.99732836365627e-05,10
Ive_comp_3_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.2,3.99732836365627e-05,10
Ive_comp_3_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.3,3.99732836365627e-05,10
Ive_comp_3_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.4,3.99732836365627e-05,10
Ive_comp_3_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.5,3.99732836365627e-05,10
Ive_comp_3_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.6,3.99732836365627e-05,10
Ive_comp_3_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.7,3.99732836365627e-05,10
Ive_comp_3_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.8,3.99732836365627e-05,10
Ive_comp_3_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,3.9,3.99732836365627e-05,10
Ive_comp_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.1,3.99732836365627e-05,10
Ive_comp_4_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.2,3.99732836365627e-05,10
Ive_comp_4_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.3,3.99732836365627e-05,10
Ive_comp_4_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.4,3.99732836365627e-05,10
Ive_comp_4_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.5,3.99732836365627e-05,10
Ive_comp_4_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.6,3.99732836365627e-05,10
Ive_comp_4_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.7,3.99732836365627e-05,10
Ive_comp_4_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.8,3.99732836365627e-05,10
Ive_comp_4_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4.9,3.99732836365627e-05,10
Ive_comp_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,10
Ive_comp_5_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.1,3.99732836365627e-05,10
Ive_comp_5_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.2,3.99732836365627e-05,1
Ive_comp_5_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.3,3.99732836365627e-05,1
Ive_comp_5_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.4,3.99732836365627e-05,1
Ive_comp_5_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.5,3.99732836365627e-05,1
Ive_comp_5_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.6,3.99732836365627e-05,1
Ive_comp_5_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.7,3.99732836365627e-05,1
Ive_comp_5_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.8,3.99732836365627e-05,1
Ive_comp_5_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5.9,3.99732836365627e-05,1
Ive_comp_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6,3.99732836365627e-05,1
Ive_comp_6_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.1,3.99732836365627e-05,1
Ive_comp_6_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.2,3.99732836365627e-05,1
Ive_comp_6_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.3,3.99732836365627e-05,1
Ive_comp_6_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.4,3.99732836365627e-05,1
Ive_comp_6_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.5,3.99732836365627e-05,1
Ive_comp_6_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.6,3.99732836365627e-05,1
Ive_comp_6_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.7,3.99732836365627e-05,1
Ive_comp_6_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.8,3.99732836365627e-05,1
Ive_comp_6_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,6.9,3.99732836365627e-05,1
Ive_comp_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7,3.99732836365627e-05,1
Ive_comp_7_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.1,3.99732836365627e-05,1
Ive_comp_7_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.2,3.99732836365627e-05,1
Ive_comp_7_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.3,3.99732836365627e-05,1
Ive_comp_7_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.4,3.99732836365627e-05,1
Ive_comp_7_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.5,3.99732836365627e-05,1
Ive_comp_7_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.6,3.99732836365627e-05,1
Ive_comp_7_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.7,3.99732836365627e-05,1
Ive_comp_7_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.8,3.99732836365627e-05,1
Ive_comp_7_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,7.9,3.99732836365627e-05,1
Ive_comp_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8,3.99732836365627e-05,1
Ive_comp_8_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.1,3.99732836365627e-05,1
Ive_comp_8_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.2,3.99732836365627e-05,1
Ive_comp_8_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.3,3.99732836365627e-05,1
Ive_comp_8_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.4,3.99732836365627e-05,1
Ive_comp_8_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.5,3.99732836365627e-05,1
Ive_comp_8_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.6,3.99732836365627e-05,1
Ive_comp_8_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.7,3.99732836365627e-05,1
Ive_comp_8_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.8,3.99732836365627e-05,1
Ive_comp_8_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,8.9,3.99732836365627e-05,1
Ive_comp_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9,3.99732836365627e-05,1
Ive_comp_4_deep_9_2_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_1_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_start_early.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_9_5_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_4_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_3_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_2_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_1_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_11_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_4_deep_12_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,10
Ive_comp_5_deep_custom_time.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_5_deep_da_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_12_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,12,3.99732836365627e-05,1
Ive_10_dense_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10,3.99732836365627e-05,1
Ive_comp_5_deep_vary_angle.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_13_deep_custom_time.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,13,3.99732836365627e-05,1
Ive_comp_5_deep_custom_time_IC.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,5,3.99732836365627e-05,1
Ive_comp_10_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.1,3.99732836365627e-05,1
Ive_comp_10_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.2,3.99732836365627e-05,1
Ive_comp_10_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.3,3.99732836365627e-05,1
Ive_comp_10_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.4,3.99732836365627e-05,1
Ive_comp_10_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.5,3.99732836365627e-05,1
Ive_comp_10_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.6,3.99732836365627e-05,1
Ive_comp_10_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.7,3.99732836365627e-05,1
Ive_comp_10_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.8,3.99732836365627e-05,1
Ive_comp_10_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10.9,3.99732836365627e-05,1
Ive_comp_4_deep_8_7_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_8_8_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_8_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_6_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_7_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_8_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_9_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_1_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_2_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_3_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_4_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_5_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_6_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_7_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_8_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_10_9_start.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_9_1_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.1,3.99732836365627e-05,1
Ive_comp_9_2_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.2,3.99732836365627e-05,1
Ive_comp_9_3_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.3,3.99732836365627e-05,1
Ive_comp_9_4_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.4,3.99732836365627e-05,1
Ive_comp_9_5_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.5,3.99732836365627e-05,1
Ive_comp_9_6_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.6,3.99732836365627e-05,1
Ive_comp_9_7_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.7,3.99732836365627e-05,1
Ive_comp_9_8_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.8,3.99732836365627e-05,1
Ive_comp_9_9_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.9,3.99732836365627e-05,1
Ive_comp_10_deep.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,10,3.99732836365627e-05,1
Ive_comp_9_1_deep_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.1,3.99732836365627e-05,1
Ive_comp_4_deep_9_1_start_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_9_deep_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9,3.99732836365627e-05,1
Ive_comp_4_deep_9_start_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_9_2_deep_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,9.2,3.99732836365627e-05,1
Ive_comp_4_deep_9_2_start_long_run.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_1_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_2_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_3_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_4_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_5_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_6_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_7_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_8_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_0_9_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_1_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_2_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_3_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_4_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_5_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_6_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
Ive_comp_4_deep_1_7_flux.txt,dil,200,0.04,1.43e-05,100000000,2.5,0.03924,0.585,4,3.99732836365627e-05,1
