Name,N,h,d,reg_param,rho_r,phi_c,theta,eta_f,a,phi_rcp,phi_rlp,t_step,creep_type,S0
rau_8_5_alt_creep_small.txt,200,0.004,1.43e-05,100000000,2.5,0.585,8.5,0.001264066218475,0.509683995922528,0.63,0.53,10,2,0.010096375546923
rau_8_5_alt_creep.txt,200,0.004,1.43e-05,1000000,2.5,0.585,8.5,0.0013,0.5097,0.63,0.53,10,2,0.101
rau_5_alt_creep.txt,200,0.004,1.43e-05,1000000,2.5,0.585,5,0.0013,0.5097,0.63,0.53,10,2,0.101
rau_5_alt_creep_small.txt,200,0.004,1.43e-05,1000000,2.5,0.585,5,0.0013,0.5097,0.63,0.53,10,2,0.0101
rau_13_alt_creep.txt,200,0.004,1.43e-05,1000000,2.5,0.585,13,0.0013,0.5097,10,0.63,0.53,2,0.101
rau_13.txt,200,0.004,1.43e-05,1000000,2.5,0.585,13,0.0013,0.5097,10,0.63,0.53,1,0.101
rau_5.txt,200,0.004,1.43e-05,100000000,2.5,0.585,5,0.001264066218475,0.509683995922528,0.63,0.53,10,1,0.10096375546923
rau_8_5.txt,200,0.004,1.43e-05,100000000,2.5,0.585,8.5,0.001264066218475,0.509683995922528,0.63,0.53,10,1,0.10096375546923
rau_8_5_no_creep.txt,200,0.004,1.43e-05,1000000,2.5,0.585,8.5,0.0013,0.5097,0.63,0.53,10,0,0
rau_13_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,13,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
rau_8_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,8.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
rau_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
rau_8_5_deep_long.txt,200,0.04,1.43e-05,100000000,2.5,0.585,8.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,100,2,0.31927542840705
SG_material_comp_31deg.txt,200,0.2,0.00075,100000000,2.5,0.585,31,3.57531917980937e-06,0.066258919469929,0.63,0.53,0.1,2,0.713921561463532
rau_5_deep_small_creep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.031927542840705
rau_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
rau_5_deep_linear_creep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,1,0.31927542840705
Rauter_0_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.1,3.99732836365627e-05,0.0509683995922528,0.63,0.53,10,2,0.31927542840705
Rauter_5_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_5_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,5.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.1,3.99732836365627e-05,0.0509683995922528,0.63,0.53,10,2,0.31927542840705
Rauter_6_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_5_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.5,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_6_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,6.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_0_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,0.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_1_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,1.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_2_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,2.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_3_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,3.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_1_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.1,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_2_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.2,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_3_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.3,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_4_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.4,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_6_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.6,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_7_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.7,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_8_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.8,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
Rauter_4_9_deep.txt,200,0.04,1.43e-05,100000000,2.5,0.585,4.9,3.99732836365627e-05,0.050968399592253,0.63,0.53,10,2,0.31927542840705
